,query,token,pos
2259,전주여행,일정,NNG
2268,전주여행,금요일,NNG
2269,전주여행,오후,NNG
2274,전주여행,도착,NNG
2275,전주여행,예정,NNG
2278,전주여행,자,NNG
2280,전주여행,차,NNG
2284,전주여행,이동,NNG
2285,전주여행,수단,NNG
2287,전주여행,대중교통,NNG
2289,전주여행,택시,NNG
2292,전주여행,예정,NNG
2295,전주여행,거리,NNG
2302,전주여행,추석,NNG
2304,전주여행,예정,NNG
2308,전주여행,갈만,NNG
2310,전주여행,곳,NNG
2311,전주여행,추천,NNG
2315,전주여행,맛집,NNG
2316,전주여행,국내,NNG
2317,전주여행,전,NNG
2318,전주여행,주달,NNG
2319,전주여행,봉,NNG
2321,전주여행,달,NNG
2322,전주여행,봉,NNG
2323,전주여행,티비,NNG
2324,전주여행,코스,NNG
2329,전주여행,곳,NNG
2330,전주여행,여수,NNG
2331,전주여행,여수,NNG
2337,전주여행,제주,NNP
2339,전주여행,갈만,NNG
2345,전주여행,맛집,NNG
2346,전주여행,국내,NNG
2347,전주여행,전,NNG
2348,전주여행,주달,NNG
2349,전주여행,봉,NNG
2351,전주여행,달,NNG
2352,전주여행,봉,NNG
2353,전주여행,티비,NNG
2354,전주여행,코스,NNG
2359,전주여행,곳,NNG
2360,전주여행,여수,NNG
2361,전주여행,여수,NNG
2367,전주여행,제주,NNP
2369,전주여행,제주도,NNP
2374,전주여행,곳,NNG
2375,전주여행,전문,NNG
2377,전주여행,플,NNG
2379,전주여행,언서,NNG
2380,전주여행,전,NNG
2381,전주여행,주달,NNG
2382,전주여행,봉이,NNG
2384,전주여행,코스,NNG
2386,전주여행,한옥,NNG
2387,전주여행,마을,NNG
2389,전주여행,코스,NNG
2390,전주여행,일정,NNG
2393,전주여행,문자,NNG
2399,전주여행,반양,NNG
2403,전주여행,시간,NNG
2405,전주여행,무리,NNG
2417,전주여행,곳,NNG
2421,전주여행,일정,NNG
2430,전주여행,차,NNG
2431,전주여행,가운데,NNG
2432,전주여행,집,NNG
2433,전주여행,점심,NNG
2435,전주여행,박물관,NNG
2436,전주여행,관광,NNG
2437,전주여행,수목원,NNG
2438,전주여행,관광,NNG
2441,전주여행,관광,NNG
2442,전주여행,교동,NNP
2443,전주여행,다윈,NNP
2444,전주여행,추천,NNG
2445,전주여행,부탁,NNG
2463,전주여행,곳,NNG
2465,전주여행,맛집,NNG
2466,전주여행,추천,NNG
2467,전주여행,부탁,NNG
2469,전주여행,감사,NNG
2471,전주여행,맛집,NNG
2472,전주여행,전,NNG
2473,전주여행,주달,NNG
2474,전주여행,봉,NNG
2476,전주여행,달,NNG
2477,전주여행,봉,NNG
2478,전주여행,티비,NNG
2479,전주여행,코스,NNG
2484,전주여행,곳,NNG
2486,전주여행,플,NNG
2488,전주여행,언서,NNG
2489,전주여행,전,NNG
2490,전주여행,주달,NNG
2491,전주여행,봉이,NNG
2493,전주여행,강아지,NNG
2496,전주여행,가능,NNG
2500,전주여행,강아지,NNG
2502,전주여행,동반,NNG
2507,전주여행,강아지,NNG
2518,전주여행,맛집,NNG
2520,전주여행,관광,NNG
2521,전주여행,징,NNG
2522,전주여행,반려,NNG
2523,전주여행,동물,NNG
2526,전주여행,앱,NNG
2527,전주여행,반려,NNG
2528,전주여행,생활,NNG
2530,전주여행,하늘,NNG
2534,전주여행,가을,NNG
2540,전주여행,강아지,NNG
2546,전주여행,추억,NNG
2547,전주여행,광주,NNP
2553,전주여행,감사,NNG
2557,전주여행,맛집,NNG
2558,전주여행,국내,NNG
2559,전주여행,전,NNG
2560,전주여행,주달,NNG
2561,전주여행,봉,NNG
2563,전주여행,달,NNG
2564,전주여행,봉,NNG
2565,전주여행,티비,NNG
2566,전주여행,코스,NNG
2571,전주여행,곳,NNG
2572,전주여행,여수,NNG
2573,전주여행,여수,NNG
2579,전주여행,제주,NNP
2581,전주여행,제주도,NNP
2586,전주여행,곳,NNG
2587,전주여행,전문,NNG
2589,전주여행,플,NNG
2591,전주여행,언서,NNG
2592,전주여행,전,NNG
2593,전주여행,주달,NNG
2594,전주여행,봉이,NNG
2596,전주여행,버스,NNG
2597,전주여행,터미널,NNG
2601,전주여행,코스,NNG
2607,전주여행,질문,NNG
2610,전주여행,일정,NNG
2611,전주여행,관련,NNG
2612,전주여행,답변,NNG
2618,전주여행,친정,NNG
2619,전주여행,어머니,NNG
2621,전주여행,딸,NNG
2633,전주여행,아래,NNG
2642,전주여행,일정,NNG
2644,전주여행,준비,NNG
2649,전주여행,참고,NNG
2655,전주여행,도움,NNG
2660,전주여행,추천,NNG
2665,전주여행,당일치기,NNG
2666,전주여행,추천,NNG
2670,전주여행,당일치기,NNG
2671,전주여행,맛집,NNG
2672,전주여행,국내,NNG
2673,전주여행,전,NNG
2674,전주여행,주달,NNG
2675,전주여행,봉,NNG
2677,전주여행,달,NNG
2678,전주여행,봉,NNG
2679,전주여행,티비,NNG
2680,전주여행,코스,NNG
2685,전주여행,곳,NNG
2686,전주여행,여수,NNG
